# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043359534e-10       7.653263660372e-15       2.380572489820e-13       6.776160225079e-17       9.046339157230e-11       9.751302030122e-12      -8.351240206621e-15 
   41       1.670017614091e-10       8.304886780965e-15       2.284586242301e-13       7.119229954755e-17       8.598778206205e-11       9.311579020990e-12      -6.389556078274e-15 
   42       1.694089043532e-10       8.995242787236e-15       2.178260416942e-13       7.471056051227e-17       8.180192317807e-11       8.896416829959e-12      -5.644104211847e-15 
   43       1.718349099103e-10       9.723866997532e-15       2.060482290123e-13       7.831660368580e-17       7.789473563853e-11       8.506494467533e-12      -5.882705360590e-15 
   44       1.742868701575e-10       1.048997094276e-14       1.929917329341e-13       8.201064529661e-17       7.423783539429e-11       8.141162512784e-12      -6.802858646350e-15 
   45       1.767694837737e-10       1.129272581806e-14       1.785110556773e-13       8.579286212050e-17       7.079567867906e-11       7.798886651070e-12      -8.072933482903e-15 
   46       1.792845249311e-10       1.213225976576e-14       1.624863245021e-13       8.966326784823e-17       6.756286063128e-11       7.479005502668e-12      -9.481082048575e-15 
   47       1.818307743708e-10       1.300892562544e-14       1.447942513955e-13       9.362179901367e-17       6.453562386329e-11       7.180304072215e-12      -1.082315697434e-14 
   48       1.844038293564e-10       1.392302192874e-14       1.252965748816e-13       9.766834600405e-17       6.170060810072e-11       6.900421702798e-12      -1.185902583683e-14 
   49       1.869958396115e-10       1.487479087714e-14       1.038391853502e-13       1.018027505094e-16       5.903413603141e-11       6.635770005120e-12      -1.231068369870e-14 
   50       1.895987213075e-10       1.586442720211e-14       8.029468167242e-14       1.060247995037e-16       5.650934619081e-11       6.382573209171e-12      -1.195045473009e-14 
   51       1.922154401360e-10       1.689211227239e-14       5.470568839513e-14       1.103342111803e-16       5.412153097211e-11       6.140512536133e-12      -1.089820049786e-14 
   52       1.948513344484e-10       1.795798574918e-14       2.717892845733e-14       1.147306407897e-16       5.186844187862e-11       5.909929185560e-12      -9.401522917224e-15 
   53       1.975108068739e-10       1.906213403859e-14      -2.153666628574e-15       1.192136811250e-16       4.974270690787e-11       5.690759814711e-12      -7.755022349455e-15 
   54       2.001972239282e-10       2.020458878149e-14      -3.313378762197e-14       1.237828598079e-16       4.773148567279e-11       5.482507287597e-12      -6.302649628496e-15 
   55       2.029129585012e-10       2.138534251566e-14      -6.561524636559e-14       1.284376914985e-16       4.582038821985e-11       5.284470597837e-12      -5.357162082376e-15 
   56       2.056597596652e-10       2.260440367800e-14      -9.959335030173e-14       1.331778559296e-16       4.400716158919e-11       5.096568535168e-12      -4.929672342856e-15 
   57       2.084382988932e-10       2.386175262092e-14      -1.351056194968e-13       1.380030593463e-16       4.229079920756e-11       4.918669400031e-12      -4.937033413303e-15 
   58       2.112479424688e-10       2.515732481445e-14      -1.721953026934e-13       1.429129828963e-16       4.066740021197e-11       4.750331020606e-12      -5.277989671279e-15 
   59       2.140866566633e-10       2.649101000514e-14      -2.109117536602e-13       1.479072820557e-16       3.912999068888e-11       4.590781599533e-12      -5.832299180631e-15 
   60       2.169509129106e-10       2.786265137497e-14      -2.513108075429e-13       1.529855860553e-16       3.766834491360e-11       4.438900560640e-12      -6.459856003579e-15 
   61       2.198371764582e-10       2.927198896226e-14      -2.934433183339e-13       1.581475760973e-16       3.627182542436e-11       4.293522127515e-12      -7.029637222506e-15 
   62       2.227469773018e-10       3.071847698649e-14      -3.373169133023e-13       1.633932418203e-16       3.493905259175e-11       4.154469016739e-12      -7.516122255814e-15 
   63       2.256828143892e-10       3.220142384094e-14      -3.829262827071e-13       1.687226816440e-16       3.367009815155e-11       4.021717836306e-12      -7.923056913574e-15 
   64       2.286466288875e-10       3.372004165461e-14      -4.302642618510e-13       1.741360309464e-16       3.246357656161e-11       3.895088091277e-12      -8.255605718296e-15 
   65       2.316397596009e-10       3.527344368260e-14      -4.793218317928e-13       1.796334639893e-16       3.131656202650e-11       3.774233270541e-12      -8.520420532505e-15 
   66       2.346628983895e-10       3.686064169650e-14      -5.300881200584e-13       1.852151958452e-16       3.022450552216e-11       3.658631933584e-12      -8.725709186316e-15 
   67       2.377160455880e-10       3.848054337478e-14      -5.825504013526e-13       1.908814843226e-16       2.918115182054e-11       3.547578797246e-12      -8.881304105008e-15 
   68       2.407989769624e-10       4.013207043695e-14      -6.366940421361e-13       1.966326200524e-16       2.818021030087e-11       3.440382644541e-12      -8.997640546062e-15 
   69       2.439128541080e-10       4.181454667555e-14      -6.925023197236e-13       2.024688901092e-16       2.722094598992e-11       3.337026541591e-12      -9.082297492624e-15 
   70       2.470588617715e-10       4.352738422293e-14      -7.499565676401e-13       2.083906104447e-16       2.630357755843e-11       3.237626000559e-12      -9.142875919119e-15 
   71       2.502376942501e-10       4.526997023404e-14      -8.090362278019e-13       2.143981386698e-16       2.542758633415e-11       3.142230435446e-12      -9.188067175880e-15 
